Korean,English
그,He
안,un-; de-; not
내,Inside
수,"way, method"
이,this
네,You
좀,A little
그래,Yes or that’s right
왜,Why?
더,More
그리고,And or and then
한,"One, a single"
우리,"we, our"
잘,Well
다,"All, everything"
무슨,"What, what kind of"
정말,Really (…말)
그냥,Just because or in that condition
게,A crab
하지만,"But, nevertheless"
그럼,Certainly or of course.
해,A year
지금,Now (지…)
뭐,Huh?; something
것,A thing or an object
날,Day
여기,A hobby
저,That
전,Before
건,A matter or an object or a case
이제,Now (이…)
거,That thing
나,Me
못,Cannot
그런,Such a
다른,Different
다시,Again
너,You (shorter word)
그렇게,And so. like that
너무,Too much
그래서,And so accordingly
모든,Every one
당신,Formal you
이런,"Such, like this"
같이,Together
어서,Quickly; kindly
오늘,Today
아주,Extremely (아…)
오,Five
빨리,Quickly
어떤,"What kind of, what sort of"
말,"words, speaking"
이렇게,In this way
자,A person
아직,Still
이거,This thing (…거)
모두,Everybody
바로,"Right, correctly"
어디,Where?
엄마,Mamma
진짜,Real
예,Example
계속,Continuously
얼마나,"How many, how much (…나)"
사람,Person
제발,"kindly, please"
근데,But or however (근…)
하나,One
몇,A few
수도,"the capital city, e.g. Seoul, of a country"
많이,A lot
저기,"That place, there"
함께,"Together, with"
아빠,Dad
그러니까,And so it is that
보고,"report, information"
가장,Most (가…)
그만,That much or a little amount
참,"really, truly"
항상,Always
꼭,For sure
그런데,But or however (그…)
일,Work
씨,… Mr.
만약,If
절대,Absoluteness
아무,"anybody, everybody"
곧,Soon
잠깐,For a little while (…깐)
거기,There
그래도,All the same
이미,Already (이…)
온,"All, whole, entire"
한번,Once
자기,"Oneself, number one, numerouno, self"
당장,"On the spot, immediately"
있다,To be
아마,Probably (…마)
선생님,Teacher (…님)
시간,Time
여자,"woman, female"
먼저,First (먼…)
돈,Money
볼,Cheek
어때,What do you think?
절,A Buddhist temple
아버지,Father (…지)
얘기,Story
남자,Boy
친구,A friend
이상,"More than, above"
이리,"This way, this direction"
수술,Surgery (수…)
혼자,Alone
물론,Of course (물…)
본,An example
중,"The center, the middle"
내일,Tomorrow
그러면,If so or if that is the case
가지,One of the kind or a sort
사실,"The truth, a fact (사…)"
그저,still or all the time; easily or with no effort
대체,"An outline, summary"
아이,Child
다음,Next (다…)
필요,"Need, requirement, necessity"
가요,A song
완전,"Perfection, completeness"
전혀,"entirely, utterly, completely"
언제,"when, at what time"
거의,Almost or nearly
알,"An egg, spawn"
생각,Thought
방금,Just now
벌써,Already (벌…)
소리,"A sound, noise"
오래,"Long, for a long time"
적,"The time, the occasion, when"
없다,"Do not exist, absent"
혹시,Sometimes (혹…)
너희,You guys
없이,Without
새,New
누구,Who
환자,A patient
부인,A woman
차,"A vehicle, train; auto car"
살,Years old
